timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-08-31T22:44:20.590Z,2026-09-01 06:44:20 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,48,1.231,151,150,OK,11.3,
2026-08-31T22:47:01.047Z,2026-09-01 06:47:01 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,48,1.231,151,150,OK,11.3,
2026-08-31T23:00:31.029Z,2026-09-01 07:00:31 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,46,1.179,151,150,OK,11.8,
2026-08-31T23:15:30.106Z,2026-09-01 07:15:30 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,47,1.205,151,150,OK,11.6,
2026-08-31T23:30:19.497Z,2026-09-01 07:30:19 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,47,47,1.000,150,150,OK,11.5,POSSIBLE
2026-08-31T23:55:34.836Z,2026-09-01 07:55:34 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,53,1.359,151,150,OK,10.3,
2026-08-31T23:58:43.010Z,2026-09-01 07:58:43 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,52,1.333,151,150,OK,10.5,
2026-09-01T08:48:41.876Z,2026-09-01 16:48:41 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,61,1.564,151,150,OK,8.9,
2026-09-01T08:54:32.487Z,2026-09-01 16:54:32 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,65,1.667,150,150,OK,8.3,
2026-09-01T09:00:32.420Z,2026-09-01 17:00:32 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,69,1.769,150,150,OK,7.8,
2026-09-01T09:15:22.992Z,2026-09-01 17:15:22 PHT,I2_WE_EAST PART,"Grotto Road crossing at I2 (west to east)",NS_highway,39,89,2.282,151,150,OK,6.1,
