timestamp_utc,timestamp_ph,segment_id,label,axis,duration_typical_s,duration_traffic_s,tti,distance_m,expected_distance_m,distance_check,speed_kmh,low_traffic_data
2026-09-03T22:33:30.183Z,2026-09-04 06:33:30 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,31,1.000,154,150,OK,17.9,POSSIBLE
2026-09-03T22:45:32.481Z,2026-09-04 06:45:32 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,32,1.032,154,150,OK,17.3,
2026-09-03T23:00:46.197Z,2026-09-04 07:00:46 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,31,1.000,154,150,OK,17.9,POSSIBLE
2026-09-03T23:15:42.338Z,2026-09-04 07:15:42 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,32,1.032,154,150,OK,17.3,
2026-09-03T23:31:05.930Z,2026-09-04 07:31:05 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,31,1.000,154,150,OK,17.9,POSSIBLE
2026-09-03T23:45:32.749Z,2026-09-04 07:45:32 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,40,1.290,154,150,OK,13.9,
2026-09-03T23:57:25.628Z,2026-09-04 07:57:25 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,33,1.065,154,150,OK,16.8,
2026-09-04T08:33:35.141Z,2026-09-04 16:33:35 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,36,1.161,154,150,OK,15.4,
2026-09-04T09:02:40.893Z,2026-09-04 17:02:40 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,33,1.065,154,150,OK,16.8,
2026-09-04T09:29:13.484Z,2026-09-04 17:29:13 PHT,I4_WE_WEST PART,"Calvary Road crossing at I4 (west to east)",NS_highway,31,39,1.258,154,150,OK,14.2,
